Country,Power_Index_Rank,Power_Index_Score,Total_Population_By_Country,Available_Military_Manpower,Manpower_Fit_For_Military_Service,Manpower_Reaching_Military_Age_Annually,Active_Military_Manpower,Active_Reserve_Military_Manpower,Manpower_Paramilitary,Capital City,Region,Continent,Alliance,Year,Aircraft_Total,Aircraft_Total_Fighters,Aircraft_Total_Attack_Types,Aircraft_Total_Transports,Aircraft_Total_Trainers,Aircraft_Total_Special_Mission,Aircraft_Total_Tanker_Fleet,Aircraft_Helicopters_Total,Aircraft_Helicopters_Attack,Armor_Tanks_Total,Armor_Apc_Total,Armor_Self_Propelled_Guns_Total,Armor_Towed_Artillery_Total,Armor_Mlrs_Total,Naval_Assets,Navy_Force_By_Tonnage,Navy_Aircraft_Carriers,Navy_Helo_Carriers,Navy_Submarines,Navy_Destroyers,Navy_Frigates,Navy_Corvettes,Navy_Patrol_Coastal_Craft,Navy_Mine_Warfare_Craft,Defense_Spending_Budget,External_Debt_By_Country,Purchasing_Power_Parity,Reserves_Of_Foreign_Exchange_And_Gold,Major_Serviceable_Airports_By_Country,Labor_Force_By_Country,Major_Ports_And_Terminals,Railway_Coverage,Roadway_Coverage,Oil_Production_By_Country,Oil_Consumption_By_Country,Proven_Oil_Reserves_By_Country,Natural_Gas_Production_By_Country,Natural_Gas_Consumption_By_Country,Proven_Natural_Gas_Reserves_By_Country,Coal_Production_By_Country,Coal_Consumption_By_Country,Proven_Coal_Reserves_By_Country,Square_Land_Area,Coastline_Coverage,Border_Coverage,Waterway_Coverage,Country_Encoded,Assets_Per_Capita,Defense_Budget_to_GDP_Ratio,Total_Personnel,Personnel_Density,Defense_Budget_Per_Soldier,Power_Index_Rank_Gap,Air_Power_Ratio,Armor_Intensity_Index,Naval_Strength_Per_Coastline,Military_Burden_Index,Total_Military_Assets
Iceland,135,3.5181,364036,83728,50237,1820,0,0,0,Reykjavik,Northern Europe,Europe,NATO,2025,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,312400000,22000000000,26155000000,5809000000,83,239000,43,0,12898,0,18000,0,0,0,0,0,188000,0,100250,4970,0,0,52,0,0.011944179,0,0,inf,134,,0,0,858.1568856,0
Panama,136,3.6575,4470241,2011608,1206965,53643,0,0,80000,Panama City,Central America,North America,Non-NATO,2025,38,0,0,13,0,2,0,23,0,0,262,0,0,0,30,0,0,0,0,0,0,0,27,0,917202000,1.11553E+12,1.59867E+11,6757000000,76,2096000,12,77,11978,0,146000,0,0,389611000,0,0,837000,0,75420,2490,687,800,98,1.52E-05,0.005737282,0,0,inf,135,inf,0,0.012048193,205.1795418,68
Beliz,137,3.7191,415789,158000,90226,8732,1650,850,0,Belmopan,Central America,North America,Non-NATO,2025,3,0,0,1,0,1,0,1,0,0,130,0,0,0,8,0,0,0,0,0,0,0,8,0,29538000,1248000000,5257000000,473729000,27,190000,2,0,3281,800,5000,6700000,0,0,0,0,0,0,22966,386,542,825,13,2.65E-05,0.005618794,2500,0.006012665,17901.81818,136,0.001818182,0,0.020725389,71.04084043,11
Liberia,138,3.7781,5437249,2392390,1913912,65247,1500,0,5500,Monrovia,West Africa,Africa,Non-NATO,2025,0,0,0,0,0,0,0,0,0,0,300,0,0,0,4,0,0,0,0,0,0,0,4,0,364800000,830923000,8884000000,599660000,99,2499000,4,429,10600,0,4000,0,0,0,0,0,0,0,111369,579,1667,0,71,7.36E-07,0.041062584,1500,0.000275875,243200,137,0,0,0.006908463,67.09275224,4
Suriname,139,3.9127,646758,142287,84079,3234,2000,0,200,Paramaribo,South America,South America,Non-NATO,2025,3,0,0,0,0,0,0,3,0,0,650,0,0,0,17,0,0,0,0,0,0,0,17,0,144000000,2200000000,11824000000,1346000000,55,250000,4,0,4304,14000,15000,89000000,7109000,6967000,0,0,0,0,163820,386,1907,1200,122,3.09E-05,0.01217862,2000,0.003092347,72000,138,0.0015,0,0.044041451,222.6489661,20
Sierra Leone,140,3.9701,9121049,2006631,1203978,45605,13000,0,0,Freetown,West Africa,Africa,Non-NATO,2025,1,0,0,0,0,0,0,1,0,0,150,0,0,0,7,0,0,0,0,0,0,0,7,0,228600000,2687000000,14633000000,495699000,8,2913000,3,0,11701,0,9000,0,0,0,0,0,0,0,71740,402,1093,800,111,8.77E-07,0.015622224,13000,0.001425275,17584.61538,139,7.69E-05,0,0.017412935,25.06290669,8
Kosovo,141,4.9141,1977093,917371,743387,17794,10000,5000,500,Pristina,Balkans,Europe,Non-NATO,2025,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,260715150,2750000000,23794000000,1245000000,4,500300,0,437,2012,0,15000,0,0,0,0,9074000,8927000,1564000000,10887,0,714,0,65,0,0.01095718,15000,0.007586897,26071.515,140,0,0,,131.8679243,0
Somalia,142,4.2037,13017273,2993973,1796384,130173,15000,0,2000,Mogadishu,East Africa,Africa,Non-NATO,2025,0,0,0,0,0,0,0,0,0,0,682,0,0,0,10,0,0,0,0,0,0,0,10,0,171002350,5830000000,26351000000,16747500,38,3277000,6,0,15000,0,6000,0,0,0,5663000000,0,0,0,637657,3025,2385,0,115,7.68E-07,0.006489406,15000,0.001152315,11400.15667,141,0,0,0.003305785,13.13657246,10
Central African Republic,143,4.2347,5650957,2203873,1254512,101717,10000,0,1000,Bangui,Central Africa,Africa,Non-NATO,2025,6,0,6,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,45990000,666293000,5849000000,374405000,43,2114000,0,0,24000,0,2000,0,0,0,0,0,0,3000000,622984,0,5920,2800,25,1.06E-06,0.007862883,10000,0.001769612,4599,142,0.0006,0,,8.138444515,6
Benin,144,4.3156,14697052,5584880,3189260,308638,4750,0,0,Porto-Novo,West Africa,Africa,Non-NATO,2025,5,0,0,0,0,0,0,5,0,0,92,0,16,0,2,0,0,0,0,0,0,0,2,0,98350000,4066500000,52510000000,698900000,10,4964000,1,438,16000,0,46000,8000000,0,182131000,1133000000,0,45000,0,112622,121,2123,150,14,4.76E-07,0.001872977,4750,0.000323194,20705.26316,143,0.001052632,0,0.016528926,6.691818196,7
Bhutan,145,6.3934,884546,203446,122067,4423,7500,0,0,Thimphu,South Asia,Asia,Non-NATO,2025,2,0,0,0,0,0,0,2,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000,2757000000,10981000000,976260000,4,430000,0,0,12205,0,3000,0,0,0,0,177000,325000,0,38394,0,1136,0,15,2.26E-06,0.001274929,7500,0.008478926,1866.666667,144,0.000266667,0,,15.82732837,2
